corporation,lastmonth_activity,lastyear_activity,number_of_employees,exited
abcd,99,871,3,0
asdf,1243,0,10,0
xyzz,0,25,11,1
acme,813,129,9,1
qwer,2989,9982,90,0
tyui,395,190,99,0
zxcv,19028,999,81,0
hjkl,345,78,2,1
lmno,1024,14,3,1
qqqq,2145,182,110,1
corp,3891,101,998,0
ekci,10983,0,1200,0
dosk,118,929,81,1
endi,1992,19,2,0
gudj,455,94,298,1
nciw,45,0,99,1
lsid,36,234,541,0
pwls,23,555,23,0
bqlx,15,11,190,1
zmei,100,2929,999,1
wosl,2,1,1359,0
xcvb,0,14,282,1
dfgh,500,40,949,0
ngrd,1234,103,3782,1
xful,98765,7,655,0
kshe,34,2345,18,1
